PicoQuant CPDL-S-F

HW-Rev.:	PQ.033.5200.0101
Serial-Num.:	916065:01037578
Ser.-Num. SEED LD:	21391:01035837
Ser.-Num. PUMP LD:	xxxxx:xxxxxxxx
Production Date:	03.04.2019
FW-Version:	0.98

Date	Time	STATE	SysHour	SysTemp	VCCIN	CURIN	PWRIN	SOURCE	EXT	INT	VCC	BOOST	REG	NBA	NBB	TEMP	setNBA	setNBB	setSMF	setSEF	setSEV	setSEC		Main power supply pump	Voltage at monitor diode	Pump temperature	Pump current	Stored value for REG	Stored value for Offset	Stored seed temperature	Stored pump temperature	Stored pump current
			h	oC	mV	mA	mW		Hz	Hz	mV	mV	mV	mV	mV	oC	mV	mV	Hz	Hz	mV			--	--	--	--	--	--	--	--	--
2019-09-30	10:15:21.618	IDLE	0000000473	23616	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00015	03515	03508	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:22.827	IDLE	0000000473	24107	12352	00174	02149	EXT	0000000000	0080000000	04994	00000	00007	03512	03510	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:24.018	IDLE	0000000473	23861	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00007	03507	03511	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:25.195	IDLE	0000000473	24107	12352	00174	02149	EXT	0000000000	0080000000	04994	00000	00007	03508	03510	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:26.381	IDLE	0000000473	24107	12342	00174	02147	EXT	0000000000	0080000000	04994	00000	00007	03514	03510	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:27.555	IDLE	0000000473	24107	12347	00174	02148	EXT	0000000000	0080000000	04992	00000	00007	03508	03511	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:28.730	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03512	03511	47025	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:30.872	IDLE	0000000473	24107	12337	00240	02960	EXT	0000000000	0080000000	04994	00000	00007	03511	03508	47421	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:32.050	IDLE	0000000473	23861	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03514	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:33.227	IDLE	0000000473	24107	12342	00177	02184	EXT	0000000000	0080000000	04994	00000	00007	03506	03508	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:34.403	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03510	03510	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:35.584	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03515	03508	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:36.759	IDLE	0000000473	24107	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00015	03508	03510	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:37.932	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03508	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:39.108	IDLE	0000000473	24352	12342	00177	02184	EXT	0000000000	0080000000	04994	00000	00007	03507	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:40.281	IDLE	0000000473	24352	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03506	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:41.454	IDLE	0000000473	24352	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03508	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:42.627	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03510	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:43.798	IDLE	0000000473	24107	12352	00174	02148	EXT	0000000000	0080000000	04992	00000	00007	03511	03507	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:44.971	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03510	03508	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:46.143	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04996	00000	00015	03510	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:47.316	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03512	03510	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:48.489	IDLE	0000000473	23861	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03508	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:49.663	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03508	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:50.835	IDLE	0000000473	24107	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00007	03510	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:52.008	IDLE	0000000473	24107	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00007	03504	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:53.181	IDLE	0000000473	23861	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00015	03512	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:54.355	IDLE	0000000473	24107	12342	00177	02184	EXT	0000000000	0080000000	04994	00000	00007	03512	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:55.528	IDLE	0000000473	24352	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00007	03512	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:56.702	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04992	00000	00007	03507	03511	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:57.874	IDLE	0000000473	24352	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03506	03507	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:15:59.048	IDLE	0000000473	24107	12347	00174	02148	EXT	0000000000	0080000000	04994	00000	00007	03503	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:00.220	IDLE	0000000473	23861	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03512	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:02.381	IDLE	0000000473	24107	12347	00174	02148	EXT	0000000000	0080000000	04992	00000	00007	03507	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:03.553	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04992	00000	00007	03508	03511	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:04.726	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00015	03508	03511	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:05.900	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03510	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:07.075	IDLE	0000000473	23861	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03507	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:08.247	IDLE	0000000473	24107	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03507	03510	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:09.419	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03504	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:10.592	IDLE	0000000473	24352	12342	00177	02184	EXT	0000000000	0080000000	04992	00000	00007	03511	03508	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:11.763	IDLE	0000000473	24352	12352	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03503	03511	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:12.935	IDLE	0000000473	24352	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03511	03508	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:14.111	IDLE	0000000473	24352	12352	00177	02186	EXT	0000000000	0080000000	04994	00000	00007	03502	03511	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:15.284	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03511	03510	48026	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
2019-09-30	10:16:16.457	IDLE	0000000473	24107	12347	00177	02185	EXT	0000000000	0080000000	04994	00000	00007	03510	03510	48005	03499	03499	0101000000	0110000000	24000	00015.500 00000.020 00000.000 00000.000										
